,url,title,company,description
0,https://jobstreet.vn/vi%E1%BB%87c/PROJECT-MANAGER-298880474801427c3cb2ceb86f5eb4f7?from_url=https%3A%2F%2Fwww.jobstreet.vn%2Fj%3Fl%3D%26q%3Ddata%26sp%3Dhomepage&sl=&sol_srt=6dc3942f-0068-415e-a3cb-5bcff3cb8761&sp=serp&sponsored=false&sq=data&sr=1&tk=JVXRns_mflf3sw98fleA-gxJJtH99SIKCCmxn8t_Q,PROJECT MANAGER,JellyFishHR,"

Thông tin tuyển dụng


 Mã công việc :
 
H4902



 Cấp bậc :
 
Quản lý



 Ngành nghề :
 
Internet / Online Media,Marketing



 Thời gian làm việc :
 
08:30 ~ 17:30 (T2-T6)



 Số lượng tuyển :
 
1



Mô tả công việc
 - Thấu hiểu các vấn đề về thị trường, đối thủ cạnh tranh và khách hàng / người dùng
- Thu thập và ưu tiên xử lý sản phẩm tồn đọng.
- Đồng bộ hóa công việc của các nhóm phát triển quảng cáo hiện có.
- Phối hợp và liên lạc với các bên liên quan khác trong nội bộ và bên ngoài
- Cộng tác với các kỹ sư để xác định các phương pháp kỹ thuật tốt nhất và lịch trình thực hiện hợp lý.



Yêu cầu chung
 1- 7 năm kinh nghiệm sử dụng PMI-PMP, PMI-RMP (ít nhất 4 năm)
2- 3 năm làm việc với mô hình Scrum / Agile
3- Kinh nghiệm về Google Double Click hoặc Facebook ads
4- Tiếng anh giao tiếp tốt
5- Sống tại Hà Nội
6- Khả năng phát triển chiến lược sản phẩm dựa trên big data, nghiên cứu thị trường, phản hồi của người dùng
7- Kỹ năng giao tiếp và làm việc nhóm tốt, khả năng chủ động tìm kiếm và xây dựng các mối quan hệ hiệu quả.



Quyền lợi
 Quyền lợi:
- Giờ làm việc linh hoạt và không yêu cầu về trang phục làm việc
- Mì ăn liền miễn phí & cà phê / trà không giới hạn 
- Chi phí y tế: lên tới 12 triệu / năm
- Chi phí phẫu thuật: lên tới 12 triệu / năm
- Các lợi ích khác của Công đoàn cho nhân viên và gia đình



Thông tin nhà tuyển dụng


 Lĩnh vực hoạt động :
 
Dịch vụ quảng cáo



 Số nhân viên:
 
50



 Thông tin công ty:
 
Công ty về Dịch vụ quảng cáo, quy mô 50 mems


"
1,https://jobstreet.vn/vi%E1%BB%87c/IT-Executive-c1218e082dd51147704f32c2191d0c99?from_url=https%3A%2F%2Fwww.jobstreet.vn%2Fj%3Fl%3D%26q%3Ddata%26sp%3Dhomepage&sl=&sol_srt=6dc3942f-0068-415e-a3cb-5bcff3cb8761&sp=serp&sponsored=false&sq=data&sr=2&tk=JVXRns_mflf3sw98fleA-gxJJtH99SIKCCmxn8t_Q,IT Executive (Based in Hanoi),Nielsen,"
IT Executive (Based in Hanoi) - 30562
Technology and Engineering - Vietnam Dong Da, Hanoi 
#LI-EM
JOB DESCRIPTION
1. IT Services

Provide end user support for all the laptop and desktop users
Follow up and monitor request support handle by Regional team
Good knowledge on the Microsoft windows\Microsoft office product
Provide touch base support for the server and network devices in the data center with the instructions provided over the phone
Document all the devices and manage a proper inventory
Prepare first draft or assist senior IT on plan to manage, forecast and plan the operational and capital expenditure spends efficiently, to be reviewed by senior level
Log call and handle the vendors for any hardware troubleshooting
Prepare document guideline for user. Training orientation for new user

2. Organizational Management and Development

Have a strong customer orientation to bring the information systems & technology department to provide value-added services to the business
Work across functional business units to support organizational initiatives and business needs
Work across a national wide user with a diversity of demand and culture

3. Financial Management

Assist higher senior IT to establish operations expense and development budgets via thorough evaluation of business needs with regard to information management, systems, equipment, support, and training
Monitor and control overheads and expenses as per approved annual budget
Manage the cost of jobs efficiently within present budget restrictions (i.e. cost management)
Provides regular updates and reports to the IT manager as required on the financial costs and planning

4. People Management

Maintain a good interpersonal relationship with the team members and the offshore team members
Manage a good relationship with the end users, business leaders and vendors
Manage a good relationship with the regional leadership team

DESIRED SKILL AND KNOWLEDGE

University degree in Computer Science or similar
ITIL and any other technical international certification like CCNA or MCSA is preferable (Not Mandatory)
1 to 2 years working experience in desktop\laptop support
Be able to travel if there is a business need
Knowledge of servers and networks is a plus
Good customer handling skills
Good communication in both English and Vietnamese
Good logical troubleshooting, self-development and analytical skills
Able to work independently 

HOW TO APPLY
Simply click the ""Apply now"" button or send your CV to Mrs. Tuyet Pham via email: **************@nielsen.com
About Nielsen:
Nielsen N.V. (NYSE: NLSN) is a global performance management company that provides a comprehensive understanding of what consumers Watch and Buy. Nielsen’s Watch segment provides media and advertising clients with Total Audience measurement services across all devices where content — video, audio, and text — is consumed. The Buy segment offers consumer packaged goods manufacturers and retailers the industry’s only global view of retail performance measurement.
By integrating information from its Watch and Buy segments and other data sources, Nielsen provides its clients with both world-class measurement as well as analytics that help improve performance. Nielsen, an S&P 500 company, has operations in over 100 countries that cover more than 90 percent of the world’s population. For more information, visit www.nielsen.com
"
2,https://jobstreet.vn/vi%E1%BB%87c/Tester-Attractive-salary-20846a92605b30a1be3834aa4d75d601?from_url=https%3A%2F%2Fwww.jobstreet.vn%2Fj%3Fl%3D%26q%3Ddata%26sp%3Dhomepage&sl=&sol_srt=6dc3942f-0068-415e-a3cb-5bcff3cb8761&sp=serp&sponsored=false&sq=data&sr=3&tk=JVXRns_mflf3sw98fleA-gxJJtH99SIKCCmxn8t_Q,Tester - Attractive salary,Mytour,"


Tester - Attractive salary



 Hà Nội (Quận Đống Đa) 


Nhân viên


Nhân viên chính thức



 2 - 3 Năm
 



 
 Cạnh Tranh
 


CNTT - Phần mềm 


Phòng IT 


31/01/2019





Phúc Lợi


 Máy tính xách tay
 Bảo hiểm
 Du Lịch
 Phụ cấp
 Du lịch nước ngoài
 Thưởng
 Chăm sóc sức khỏe
 Đào tạo
 Tăng lương
 Công tác phí
 Phụ cấp thâm niên
 Chế độ nghỉ phép


Mô Tả Công Việc


Work and communicate with Development and Product team to understand and analysis requirements
Review requirements of each assigned project for thorough understanding of project expectation
Design test plans, test cases/test procedures/test script/test data.
Execute test base on test strategy/test plan/test case
Apply automation tool (research tool, build frame work and write script to execute for automation testing...)
Identify and investigate potential defects and discussed them with developers
Log defects during the test execution phase
Setup test environment, execution and report to team
Work and communicate with Development team to fix bugs and ensure all task meet deadlines


Yêu Cầu Công Việc


More than 2 years of experience in software testing, preferably automated and manual testing experiences
Understand and experience with test phases in a software development project
Good knowledge about automation testing using Selenium, JMeter…
Fast learning and good working manner
Good communication, pay attention to detail, able to work under high pressure and high responsibility
Ability to work well in teamwork environment as well as work independently. Be mentally responsible for the work assigned
Basic understanding of database concepts and SQL queries
Excellent analytical, creative problem-solving skills, ability to analyse and monitor the work and be active in the work to ensure meeting the project schedule as well as product quality
Experience with Jira and familiarity with software development lifecycles
Experience with mobile app (Android, IOS) testing is preferred
Ability to speak and write the test cases in English is a bonus point



"
3,https://jobstreet.vn/vi%E1%BB%87c/Senior-Frontend-Developer-8e4a1513e2bfb4a45c711c7f2db5a204?from_url=https%3A%2F%2Fwww.jobstreet.vn%2Fj%3Fl%3D%26q%3Ddata%26sp%3Dhomepage&sl=&sol_srt=6dc3942f-0068-415e-a3cb-5bcff3cb8761&sp=serp&sponsored=false&sq=data&sr=4&tk=JVXRns_mflf3sw98fleA-gxJJtH99SIKCCmxn8t_Q,SENIOR FRONTEND DEVELOPER,Mytour,"


Work and communicate with project team members including frontend developers, backend developers, project management, designers, product owners, UX/UI specialists, and testers.
Use your knowledge of web standards, best practices, and design architecture to analyze and improve web application performance and usability challenges.
Define and maintain the standards of excellence around the delivery of front-end code and experiences
Partner closely with product owner to prioritize user experience improvements
Communicate about user experience with technical and non-technical colleagues
Work closely with our backend engineering team to design integration APIs and data contracts relevant to UI
Stay ahead of the latest UI technology trends and browser features
Translate UI/UX improvements to functional code
Provide input into the iterative process of improving the user experience





At least 3 years of experience with front end development

Solid understanding of UX and UI design with an emphasis on maximizing usability
Expert knowledge of latest CSS methodologies and cross-browser CSS styling
Deep knowledge of JavaScript, ReactJS
Experience with the entire build to deploy process with npm, Webpack, eslint, Grunt, Gulp
Experience with CSS preprocessors, particularly SASS (or LESS)
Experience integrating with GraphQL APIs
Experience with PHP/Laravel framework, Git, Jira
Maturity working with cloud computing technologies like AWS (preferred), Google, etc.
High attention to detail
Ability to handle and prioritize multiple projects at once
Ability to handle flexible workloads in a fast-paced environment.
Ability to work with both local and remote team members
Willing to learn, creative thinking, hard work, enthusiasm and high responsibility in the work

Benefits:

Attractive and competitive salary
KPI bonus twice a year based on performance
Promotion opportunities
Attractive benefits (lunch, bike parking, others)
Other benefits, social insurance, health insurance in accordance with the labor law plus other benefits offered by the company (sports, gatherings, company trip, holiday, etc.
Young and dynamic working environment, opportunities to learn and work in a professional environment, chances to learn English during working time
Continuous development of hard and soft skills through work and professional trainings


"
4,https://jobstreet.vn/vi%E1%BB%87c/Business-Analyst-24f5638a431705ce792407d0e2a47b76?from_url=https%3A%2F%2Fwww.jobstreet.vn%2Fj%3Fl%3D%26q%3Ddata%26sp%3Dhomepage&sl=&sol_srt=6dc3942f-0068-415e-a3cb-5bcff3cb8761&sp=serp&sponsored=false&sq=data&sr=5&tk=JVXRns_mflf3sw98fleA-gxJJtH99SIKCCmxn8t_Q,Business Analyst,VNDIRECT,"


Tiếp nhận yêu cầu về sản phẩm từ KH và các phòng ban liên quan
Thực hiện khảo sát và phân tích trải nghiệm của khách hàng khi sử dụng các sản phẩm - dịch vụ giao dịch
Khảo sát và cập nhật tình hình của đối thủ cạnh tranh
Nghiên cứu và đề xuất các best practice về mô hình kinh doanh sản phẩm giao dịch
Nghiên cứu và đề xuất chính sách kinh doanh sản phẩm & dịch vụ giao dịch
Phân tích và hỗ trợ cấp trên ra quyết định đầu tư xây dựng các sản phẩm - dịch vụ giao dịch dựa trên data-driven




Tốt nghiệp đại học chuyên ngành tài chính, kinh tế, chứng khoán, Thương mại điện tử, Công nghệ thông tin,....
Có kinh nghiệm từ 2 năm làm BA 
Khả năng Tiếng Anh đọc hiểu tốt
Có khả năng phân tích tốt
Khả năng làm việc độc lập, làm việc nhóm, giao tiếp, thuyết trình tốt


"
5,https://jobstreet.vn/vi%E1%BB%87c/District-Manager-c0f1342753c80962e949358c072fbbef?from_url=https%3A%2F%2Fwww.jobstreet.vn%2Fj%3Fl%3D%26q%3Ddata%26sp%3Dhomepage&sl=&sol_srt=6dc3942f-0068-415e-a3cb-5bcff3cb8761&sp=serp&sponsored=false&sq=data&sr=6&tk=JVXRns_mflf3sw98fleA-gxJJtH99SIKCCmxn8t_Q,[ALDO Shoes & Accessories] District Manager - North Region,Việt Thái Quốc Tế,"

This position will report to Operations Manager and be responsible for support strategic decisions, implement sales and marketing activities to ensure planned revenues are achieved whilst working within budgeted costs.
1. SALES & PRODUCTIVITY INDEX ACHIEVEMENT
- Monitor the sales figures against forecasts, analyze and interpret trends and capitalize on data to maximize sales
- Drive overall retail performance (ADS, Conversion, UPT) in stores by implementing ALDO retail practices.
2. CUSTOMER SERVICE
- Delivering A Professional Customer Service to all Customers (Internal & external customer).
3. STORE OPERATIONS
- Ensuring Store OPS according to Company’s policy and Aldo Brand’s procedure. 
- Submitting all reports on time with high correction.
- Planning a reasonable schedule for Store Visit, Evaluating and Giving Action Plan.
4. PRODUCTS & BRANDING
- Ensuring Effectively Inventory Controlling and Management Process
- Ensuring All stores meet AGI VM/GTM Standards.
5. PEOPLE 
- Ensuring Store Profiles as budgeted by recruiting right people. 
- Ensuring Qualified SM hired in all stores
- Applying effectively Training and Coaching Process to develop every store member
- Succession Planning: Ensuring Qualified SL/MIT to backup SM position



At least 3 years experience in Retail Operation Management.
Excellent computer skills and proficient in excel, word, power point presentation.
Excellent communication skills both verbal and written
Demonstrated leadership and vision in managing staff groups.
Excellent interpersonal skills and a collaborative management style.
Open to direction and commitment to get the job done.
Delegate responsibilities effectively.
Be able to travel domestically and overseas for training and other tasks required.
Readiness to stand the pressure, problem-solving and conflict management skills


"
6,https://jobstreet.vn/vi%E1%BB%87c/Agent-b8fe5d94096da94581cc40710a326ca6?from_url=https%3A%2F%2Fwww.jobstreet.vn%2Fj%3Fl%3D%26q%3Ddata%26sp%3Dhomepage&sl=&sol_srt=6dc3942f-0068-415e-a3cb-5bcff3cb8761&sp=serp&sponsored=false&sq=data&sr=7&tk=JVXRns_mflf3sw98fleA-gxJJtH99SIKCCmxn8t_Q,Air Export - Agent,Expeditors,"

Company Description
“We’re not in the shipping business; we’re in the information business” -Peter Rose, Expeditors Founder
Global supply chain management is what we do, but at the heart of Expeditors you will find professionalism, leadership, and a friendly environment, all of which foster an innovative, customer service-based approach to logistics.

15,000 trained professionals
250+ locations worldwide
Fortune 500
Globally unified systems




Job Description
Scope of Position
Ensure timely and accurate movement of freight and information, while providing exceptional customer service within the Air Export Department.
Major Duties and Responsibilities

Ensure smooth and timely freight process flow

Ensure accurate and timely data entry into our operational system
Track and Trace Air Export files and reporting
Use Workflows on daily basis
Ensure arrival notices are communicated to overseas and customers
Ensure accurate and timely client and Service Providers billing
Interact with our customers in arranging their international shipments, meeting customer service standards
Contribute to maintaining good relationships with suppliers (Airline carriers, trucking companies and others involved)
Meet compliance at all times with internal and external regulations in accordance with government regulations
Understand department process flow, looking for best practices to improve operational efficiency and productivity
Ensure all customers standard operating procedures are in place and updated
Meet KPI standards in accordance with the Company’s procedure
Overseas communications, timely responses to emails and requests (internal and external)




Qualifications
Effective interpersonal skills- including proven abilities to listen, comprehend, and to communicate clearly and concisely both verbally and in writing. 
Strong organizational and prioritization skills are critical.
Proficient computer skills- solid data entry with high accuracy rate, email, internet, Excel, Word, PowerPoint. 
Desire for a career in supply chain/logistics.



Additional Information
Expeditors offers excellent benefits

Paid Vacation, Holiday, Sick Time 
Health Plan: Medical,  Dental and Vision
Life and Long Term Disability Insurance 
Training and Personnel Development Program
Monthly performance bonus

All your information will be kept confidential according to EEO guidelines.


"
7,https://jobstreet.vn/vi%E1%BB%87c/Chuy%C3%AAn-Vi%C3%AAn-Ph%C3%A2n-T%C3%ADch-Nghi%E1%BB%87p-V%E1%BB%A5-84db324788d1d8af113e1948c7a25d45?from_url=https%3A%2F%2Fwww.jobstreet.vn%2Fj%3Fl%3D%26q%3Ddata%26sp%3Dhomepage&sl=&sol_srt=6dc3942f-0068-415e-a3cb-5bcff3cb8761&sp=serp&sponsored=false&sq=data&sr=8&tk=JVXRns_mflf3sw98fleA-gxJJtH99SIKCCmxn8t_Q,CHUYÊN VIÊN PHÂN TÍCH NGHIỆP VỤ PHẦN MỀM (Business Analyst IT Software),Công Ty Cổ Phần Truyền Thông VMG,"


 
 
 
 Công Ty Cổ Phần Truyền Thông VMG
 
 
 

 Tầng 8 tòa nhà Viễn Đông, 36 Hoàng Cầu
 , Quận Đống Đa
 ,
 Hà Nội,
 
 Việt Nam
 

 Lương:
 
 8,000,000
 VNĐ
 
 -
 15,000,000
 VNĐ
 
 MONTH
 
 
 

Mô tả chi tiết công việc

* Công việc chính: Mức lương 8tr- 15tr- Tham gia dự án phát triển phần mềm của công ty, với vai trò BA của dự án- Tiếp nhận, khảo sát, thu thập yêu cầu từ khách hàng, phân tích yêu cầu và dữ liệu, mô tả quy trình nghiệp vụ, use cases, scenarios, phân tích nghiệp vụ, và quy trình | dòng việc (business analysis | workflow analysis) để đưa ra các yêu cầu về nghiệp vụ, giao diện và tính năng.- Xây dựng và thống nhất với khách hàng về mô tả/đặc tả chức năng, nghiệp vụ cho các sản phẩm/dịch vụ: URD, SRS.- Thiết kế mô hình dữ liệu, tạo các mockups hay prototypes cho dự án.- Tham gia kiểm thử chất lượng phần mềm, nghiệm thu sản phẩm trước khi thực hiện chuyển giao.
* Công việc khác:- Tham gia nghiên cứu, tìm hiểu các giải pháp và ứng dụng công nghệ vào dự án- Các công việc được trưởng bộ phận phân công.
* MÔI TRƯỜNG & CHẾ ĐỘ ĐÃI NGỘ- Làm việc 5 ngày/tuần trong môi trường năng động, chuyên nghiệp.- Có cơ hội thăng tiến, đào tạo, có điều kiện khẳng định bản thân.- Có cơ hội thực hiện các nhiệm vụ quan trọng và phát triển các kỹ năng trong nhiều lĩnh vực, khám phá những khả năng mới của bản thân.- Mức lương thỏa thuận (cạnh tranh) : Lương cứng, lương mềm, lương kinh doanh theo quý và năm, tháng lương thứ 13, phụ cấp theo quy định của VMG: Xăng xe, điện thoại, ăn trưa..., ngoài ra còn có thưởng các ngày lễ tết, các dịp đặc biệt...- VMG cam kết xét tăng lương 1 năm 1 lần.- Quy chế lương, quy chế lương kinh doanh rõ ràng, thực hiện thống nhất và đúng theo những thỏa thuận ban đầu.- Đầy đủ các chế độ, quyền lợi theo luật định (BHXH, BHYT...);ngoài ra còn có các loại Bảo hiểm tiết kiệm, Bảo hiểm thân thể và các chế độ đãi ngộ hấp dẫn theo quy định riêng tại VMG* Du lịch trong nước hay nước ngoài ít nhất 1 lần/năm.* Ngoài ra có các chế độ chăm sóc sức khỏe như tập Gym miễn phí hàng ngày, câu lạc bộ chạy hàng tuần và các khoản phí hoạt động bộ phận 200k/nhân sự/tháng được sử dụng cho các hoạt động du lịch gắn kết quy mô bộ phận.

Kinh nghiệm/Kỹ năng chi tiết

* Yêu cầu chính:- 22 – 30 tuổi- TN Đại học, Cao đẳng chuyên ngành CNTT, tin học quản lý, hệ thống thông tin.- Ít nhất 3 năm kinh nghiệm trong vị trí BA, và ít nhất 2 năm kinh nghiệm tham gia trực tiếp vào việc phát triển phần mềm, hay thiết kế mô hình dữ liệu, hoặc sử dụng các hệ quản trị CSDL quan hệ RDBMS (như Oracle, SQL server hay MySQL…).- Có kỹ năng tốt trong việc viết tài liệu chuyên môn, cũng như sử dụng các phần mềm hỗ trợ trong thiết kế, như EA | PowerDesigner, Visio, UML, Mockup | Wireframe. Biết và có thể sử dụng phần mềm photoshop | Illustrator là thuận lợi.- Có kinh nghiệm trong việc phát triển phần mềm theo mô hình Agile, Scrum, định hướng và thiết kế dựa trên đặc trưng, yêu cầu chức năng, hiệu suất, và trải nghiệm của người dùng.- Có khả năng phân tích và xây dựng hệ thống thông tin (information system), cơ sở dữ liệu lớn.- Đam mê và yêu thích trong việc nghiên cứu và đánh giá các giải pháp cho dự án, khuyến nghị các giải pháp hiệu quả và chi phí thấp. * Ưu tiên:- Có kinh nghiệm phát triển các phần mềm liên quan tới Thanh toán, di động, Web Portal.- Có kinh nghiệm trong việc triển khai, hay hỗ trợ cho những hệ thống dữ liệu lớn, data wharehouse.- Có kỹ năng và kinh nghiệm test.- Ưu tiên ứng viên gửi các sản phẩm đã từng làm.

Mô tả
Thông tin liên hệ


 
 Cách liên hệ:
 Nộp trực tuyến, Gửi kèm File, Trực tiếp
 

 Mô tả:
 - Các ứng viên quan tâm vui lòng gửi hồ sơ trực tuyến qua CareerLink, gửi kèm file hoặc trực tiếp đến tại công ty


 Tên liên hệ:
 Phòng Hành Chính Nhân Sự
 

 Địa chỉ:
 Tầng 8 tòa nhà Viễn Đông, 36 Hoàng Cầu
 , Quận Đống Đa
 ,
 Hà Nội,
 
 Việt Nam
 


** Nhận hồ sơ ứng viên bằng ngôn ngữ: Tiếng Việt


 Ngày gởi: 
 
 15/01/2019
 2019-01-15
 
 Ngày hết hạn: 
 
 01/03/2019
 2019-03-01T24:00+07:00
 
 

 
 Tags 
 Quận Đống Đa
 Phần mềm
 Tuyển Gấp
 Hà Nội
 






 "
8,https://jobstreet.vn/vi%E1%BB%87c/Developer-3d8312ec9e5fe966f7dfd24dcc1ba5a2?from_url=https%3A%2F%2Fwww.jobstreet.vn%2Fj%3Fl%3D%26q%3Ddata%26sp%3Dhomepage&sl=&sol_srt=6dc3942f-0068-415e-a3cb-5bcff3cb8761&sp=serp&sponsored=false&sq=data&sr=9&tk=JVXRns_mflf3sw98fleA-gxJJtH99SIKCCmxn8t_Q,"20 .NET/C# Developers ($700-$1,500 net)",Bài việt không đề cập tên Công ty,"

Top 3 Reasons To Join Us


We are offshore resources provider to wordwide
Good opportunity to improve yourself
Working with big market, big data





The Job



Design and architect complex, scalable Broker Backend applications;
Develop and code business applications, multi-tiered web and client server applications using: C#, ASP.Net, XML,MS SQL with Store Procedure, AngularJS, CSS3, HTML5, JQuery, LINQ, Boostrap 3 or 4, Team Foundation Server (TFS)  and Entity Framework;
Hands on in Socket, WCF,  WPF and multithreaded environment;
Understand for using Dependency Injection and Inversion (in SOLID)
Familiar with MVVM, MVC and other design patterns;
Knowledge and experience with Web API/Restful API, SPA;
Strong Object-Oriented design skills;
Knowledge of DevExpress WPF would be an added advantage;
Knowledge of Modulus StockChartX would be an added advantage;
Provides technical expertise to maintain environments and troubleshoot issues with software delivery;
Write and supervise the technical product documentation;
Technical design, mentoring and implementation of best practices and processes;
Develop the software architecture based on the business requirements and constraints;
Ensure efficiency of your team by giving them technical advices along the delivery process;
Be responsible to deliver proof of concepts which validates technical choices;
Organize knowledge sharing and continuous learning;
Ensure ISO 27001 system and procedure are implemented and maintained continuously on a company wide basis through respective related personnel;
To carry out any other duties as and when directed;




Your Skills and Experience


Candidates must possess at least a Diploma, Advanced Diploma, Bachelor’s Degree, or higher in Computer Science/Information Technology or equivalent;
Minimum 3 years working experiences in Software analysis, design, development & implementation;
Strong analytical and technical skill on C#, ASP.Net, XML,MS SQL with Store Procedure, HTML5, JQuery, LINQ, Team Foundation Server (TFS)  and Entity Framework
Execute full software development life cycle (SDLC);
Develop flowcharts, layouts and documentation to identify requirements and solutions;
Write well-designed, testable code;
Integrate software components into a fully functional software system;
Develop software verification plans and quality assurance procedures;
Document and maintain software functionality;
Troubleshoot, debug and upgrade existing systems;
Able to work as a team member with other technical staff, such as developers and infrastructures team members;
Strong team player as well as an independent learner;
Able to work under stress to meet timeline;
Good written and verbal communication skills;




Why You'll Love Working Here

• A very attractive salary package: 700USD - 1,500USD in net; • 13th month salary, contingency performance bonus; • Office: 5-6 Flr., building 20/538 Lang Str. (behind Skycity 88 Lang Ha Str.), Dong Da, Hanoi; • Working hour: 8.30am-5.30pm (Mon - Fri) and by assignment;• Review and increment twice a year; • Salary paid by exchange rate at VCB monthly; • Knowledge sharing and learning on all IT aspects oversea;• Annual leave: Maternity, Married...;• Social, Healthcare, Unemployment Insurance;• Private health care program for you and your family members; • Seminar, Trip, Training oversea allowance;• Company trip, Team building/Happy hour, Birthday party...; • Please send your full resume in English, including employment history, present & expected salary and contact mobile to our HR department at **@fitech.com.vn;


"
9,https://jobstreet.vn/vi%E1%BB%87c/Japanese-Speaking-PHP-Developer-1d78961ee8ef3cb1153d9e4b2fbcdf49?from_url=https%3A%2F%2Fwww.jobstreet.vn%2Fj%3Fl%3D%26q%3Ddata%26sp%3Dhomepage&sl=&sol_srt=6dc3942f-0068-415e-a3cb-5bcff3cb8761&sp=serp&sponsored=false&sq=data&sr=10&tk=JVXRns_mflf3sw98fleA-gxJJtH99SIKCCmxn8t_Q,Japanese Speaking PHP Developer,Bài việt không đề cập tên Công ty,"

Top 3 Reasons To Join Us


Friendly, flexibility working environment.
Work with multinational members and clients
Opportunity to DEVELOP your ideas from ZERO.





The Job


Company Overview
Syno VietNam is a startup company established in 2018 & supported by Syno Groups
(Syno Japan, Syno Asia, Syno International) with an extensive experience on incorporating  Marketing Research and IT.
We help clients with data solutions: collecting, processing, visualizing and understanding the increasingly complex data that impact their business. Utilizing our services, clients can make better decisions to become more successful in today’s business world.  Besides technology, you have chance to understand how people research the market to get insights and strategies to boost business. We would love to work with problem-solver, who willing to make things better for both clients and all other team members.
Responsibilities
- Design & develop web applications and maintain existing web applications  
- Support and optimize working flows for Operations Team.
- Build up development Team for Vietnam office.



Your Skills and Experience

Must have:
Has 1+ year experience of working with PHP or PHP Framework ( Zend, Laravel ) or other web framewok. Familiar with MySQL, HTML, CSS, Javascript, Git.Japanese JLPT N3 +
Nice to have:
Any experience in working with frontend framework ( React, Vuejs, AngularJs), Big Data Technology.Has experience of management.Ability to speak/write/understand English or Japanese JLPT N2. Has experience of working with cloud services like AWS or Google Cloud.



Why You'll Love Working Here

- Salary:  800 ~ 1500 USD (Depends on the background and experience.) - Opportunity to work at Japan or Europe office. - Global Working Environment. You can enjoy the working experience with various team member and clients from multiple countries in the world. - Startup experience. This position is design for those who want to build up their own company in the future. - Flexible working time. - Opportunity to build up your own team and become Key member of Syno Vietnam.  - All insurances according to Vietnamese Labor law.


"
