company_name,date_posted,job_description,job_title,location,salary_estimated,salary_max,salary_min
VNG,2019-01-04,"['Support playing our games during work hours to get better insights', 'Have opportunities to challenge yourself with new career path in Software Engineering when taking part in R&D; the Big Data Solution', '\ufeffHandling data quality (cleaning, data mapping / transformation, standardization?) for delivering clear business insights from a variety of raw data sources.', 'Follow up the data incident in order to guarantee the data quality.', 'Develop the solution for big data platform.', '\ufeff\ufeffMaster the relational SQL (a must) and NoSQL databases.', 'Working experience with at least one of these technologies: Scala, Python, Spark (a must)', 'Experience with data pipeline and workflow management and big data tools: Hadoop, Hive, Airflow Oozie, Spark, Kafka, Pig, etc', 'Experience with Cloudera or Hortonworks (optional)', 'Experience in playing games is a plus', '?NG TUY?N', 'GI?I THI?U ?NG VI?N']",Data Engineer (Hadoop/Spark),Ho Chi Minh City,,,
KNOREX,2018-12-26,"['Work as part of our research and prototyping (R&P;) team to solve challenging engineering tasks specifically relating to Natural Language Processing (NLP) and text mining', 'Collaborate with other teams to transform technologies, research work into prototypes or customer products', 'Work with other members to integrate research deliverables into existing systems', 'Evaluate and identify new technologies for prototyping', 'Evaluate feedback and challenging issues gathered by the business and technical teams and transform them into tractable problems to resolve.', 'Prioritize tasks to meet multiple deadlines. Requirements ? Strong programming skills in both scripting and object oriented languages (e.g. Python, Java, ...)', 'Solid understanding of machine learning and/or natural language processing techniques. Knowledge of deep learning is a plus', 'Practical experience with NLP / ML toolkits and frameworks is a plus', 'Pick up new technology or new concepts fast, excellent problem solving skill', 'Able to communicate reasonably well in written and spoken English', 'Candidate must possess at least Degree or Diploma in any field, preferably computer science / IT related. Would be a plus if you have had past research experience.', 'At least 1- 5 years of working experience', 'Able to work independently as well as in collaborative mode with minimum supervision', 'Willingness to learn and apply to ideas', 'Good process management and excellent follow-through.', 'Work productively even under pressure', 'Possess good work ethic and attitude Benefits', 'Comprehensive Health Insurance Coverage', 'Personal Development Fund for courses and materials.', 'Opportunity to attend the international conferences.', 'Ample opportunities to grow. You get to propose your own ideas and see it through.', 'Work with passionate, talented and driven colleagues who get things done', 'Cross-country teams with passionate, talented and driven colleagues.', 'Challenging and exciting problems that await you to solve.', '13th-month salary']","Research Scientist (NLP) - Python, Java",Ho Chi Minh City,,,
Page Group Vietnam,2019-01-11,"['Building Machine Learning models using your core expertise.', 'Collaboratewith Product and Business to define the financial product', 'Collecting,cleaning, preparing data at large scale for modeling.', 'Implementing Machine Learning algorithms, productionizing model training andvalidation.', 'Testing and monitoring Machine Learning systems.', '4+ years of industrial experience in Machine Learning, Financial Services or related fields', 'Good understanding of mathematical foundations of Machine Learning algorithms.', 'A builder. You go an extra mile to bring your prototypes to production.', 'Strong product ownership. You take a high responsibility for what you build. You keep a high bar for product quality.', 'Strong collaboration skills. You reach out to help other team members.', 'Experience with credit scoring or financial service models.', 'MS/PhD degree in Computer Science or related technical field.']",Head of Data Analytics,Ho Chi Minh City,,,
Citibank,2019-01-04,[],Decision Management Business Analytics Manager,Ho Chi Minh City,,,
VNG,2019-01-08,"['Opportunity to develop on both client side and server side of applications or web service.', 'Research new techniques and consultant solutions: Proposing appropriate technology for each project.M“ t? c“ng vi?c- Design and development of our data analytics platform, including data management, system architectures, and analytics tools', 'Build out scalable and reliable ETL pipelines and processes to ingest data from a large number and variety of data sources', 'Build, deploy and manage services and tools for data products and monitoring, ensuring their usability and performance', 'Develop the solution for big data platformYˆu c?u- Bachelor in Computer Sciences', '0-1 years experiences in software development', 'Strong Java experience, Git source control', 'Experience working with Linux/Unix', 'Experience with multiple coding languages and environments: Java, Scala...', 'Experience with data pipeline, workflow management and big data framwork: Hadoop, Hive, Oozie/Airflow, Spark, Pig, etc..']",Data Engineer,Ho Chi Minh City,,,
Nielsen,2019-01-18,"['Work on sample design, advanced data analyses following standard processes with minimal supervision (after training) or for non-standard projects with some supervision. Examples may include, but are not limited to: complex sample design, correlation, regression types; factor analysis, segmentation, conjoint and other group-specific advanced analyses.', 'Provide output of statistical outputs to internal clients in simple, non-technical language.', 'Co-ordinate with different teams when required on project flow and to ensure timely deliverables.', 'Perform analysis of data by editing existing programs as necessary.', 'Take responsibilities that are more non-standard in nature based on the team?s need and delivers them.', 'Bachelor or higher degree in Mathematics, Statistics, Computer Science, Economics, Psychology, Marketing, or a related field', 'Must have strong technical, analytical and problem-solving skills', 'Must be detailed oriented and multi-task oriented', 'Must have good interpersonal skills and be able to work effectively with co-workers', 'Must have experience in running statistical analysis on statistical packages like SPSS, SAS, Python, R', 'Experience in programming such as VBA, C, Python and R is preferable', 'Good organizing and planning skills', 'Good oral and written communication skills in Vietnamese and English']","Executive/Sr. Executive, Statistical Consulting & Analysis",Ho Chi Minh City,,,
Page Group Vietnam,2019-01-11,"['Building Machine Learning models using your core expertise.', 'Collaboratewith Product and Business to define the financial product', 'Collecting,cleaning, preparing data at large scale for modeling.', 'Implementing Machine Learning algorithms, productionizing model training andvalidation.', 'Testing and monitoring Machine Learning systems.', '4+ years of industrial experience in Machine Learning, Financial Services or related fields', 'Good understanding of mathematical foundations of Machine Learning algorithms.', 'A builder. You go an extra mile to bring your prototypes to production.', 'Strong product ownership. You take a high responsibility for what you build. You keep a high bar for product quality.', 'Strong collaboration skills. You reach out to help other team members.', 'Experience with credit scoring or financial service models.', 'MS/PhD degree in Computer Science or related technical field.']",Head of Data Analytics,Ho Chi Minh City,,,
VNG,2019-01-06,"['Be involved in Fintech business with ZaloPay - expected to be one of the leading e-payment products in Vietnam. Embracing BIG challenges of making ZaloPay changes the payment behavior of Vietnamese people.', 'You have opportunities to accompany with internal teams for joining full process of dealing with Zalopay?s Merchants', 'You can dance with big data, use data to tell the story of user?s behaviors in diverse industry.', 'Use statistical methods to analyze data about merchant effectiveness & merchant campaign and generate useful business report.', 'Use data to create models that depict trends in the customer base and the consumer population as a whole.', 'Performs other duties as assigned.', 'Strong knowledge of and experience with reporting packages, databases.', 'Knowledge of statistics and experience using statistical packages for analysing large datasets.', 'Strong analytical skills with the ability to collect, organize, analyse, and disseminate significant amounts of information with attention to detail and accuracy.', 'Experienced in Online Payment or Banking is a BIG plus.', '?NG TUY?N', 'GI?I THI?U ?NG VI?N']","Senior Data Analyst, ZaloPay",Ho Chi Minh City,,,
Trusting Social,2018-12-26,[],Data Scientist,Ho Chi Minh City,,,
Quoine,2019-01-18,"['Create and maintain optimal data pipeline architecture,', 'Assemble large, complex data sets that meet functional / non-functional business requirements.', 'Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.', ""Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and AWS 'big data' technologies."", 'Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics.', 'Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.', 'Keep our data separated and secure across national boundaries through multiple data centers and AWS regions.', 'Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.', 'Work with data and analytics experts to strive for greater functionality in our data systems.', 'Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.', ""Experience building and optimizing 'big data' data pipelines, architectures and data sets."", 'Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.', 'Strong analytic skills related to working with unstructured datasets.', 'Build processes supporting data transformation, data structures, metadata, dependency and workload management.', 'A successful history of manipulating, processing and extracting value from large disconnected datasets.', ""Working knowledge of message queuing, stream processing, and highly scalable 'big data' data stores."", 'Strong project management and organizational skills.', 'Experience supporting and working with cross-functional teams in a dynamic environment.', 'We are looking for a candidate with 5+ years of experience in a Data Engineer role, who has attained a Graduate degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field. They should also have experience using the following software/tools:', 'Experience with big data tools: Hadoop, Spark, Kafka, etc.', 'Experience with relational SQL and NoSQL databases, including Postgres and Cassandra.', 'Experience with data pipeline and workflow management tools: Azkaban, Luigi, Airflow, etc.', 'Experience with AWS cloud services: EC2, EMR, RDS, Redshift', 'Experience with stream-processing systems: Storm, Spark-Streaming, etc.', 'Experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc.']",Data Engineer,Ho Chi Minh City,,,
